@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2025/10/01 22:28:33:420',1,23,0,150,119,0.07667,0.859515,0.164177
2,'2025/10/01 22:28:33:465',1,23,0,150,119,0.07667,0.859515,0.164177
3,'2025/10/01 22:28:33:529',1,23,0,150,119,0.07667,0.859515,0.164177
4,'2025/10/01 22:28:33:587',1,23,0,150,119,0.07667,0.859515,0.164177
5,'2025/10/01 22:28:33:648',1,23,0,150,119,0.07667,0.859515,0.164177
6,'2025/10/01 22:28:33:713',1,23,0,150,119,0.07667,0.859515,0.164177
7,'2025/10/01 22:28:33:763',1,23,0,150,119,0.07667,0.859515,0.164177
8,'2025/10/01 22:28:33:826',1,23,0,150,119,0.07667,0.859515,0.164177
9,'2025/10/01 22:28:33:879',1,23,0,150,119,0.07667,0.859515,0.164177
10,'2025/10/01 22:28:33:943',1,23,0,150,119,0.07667,0.859515,0.164177
11,'2025/10/01 22:28:34:001',1,23,0,150,119,0.07667,0.859515,0.164177
12,'2025/10/01 22:28:34:066',1,24,0,150,119,0.07667,0.859515,0.164177
13,'2025/10/01 22:28:34:120',1,24,0,150,119,0.07667,0.859515,0.164177
14,'2025/10/01 22:28:34:183',1,24,0,150,119,0.07667,0.859515,0.164177
15,'2025/10/01 22:28:34:245',1,24,0,150,119,0.07667,0.859515,0.164177
16,'2025/10/01 22:28:34:309',1,24,0,150,119,0.07667,0.859515,0.164177
17,'2025/10/01 22:28:34:363',1,24,0,150,119,0.07667,0.859515,0.164177
18,'2025/10/01 22:28:34:426',1,24,0,150,119,0.07667,0.859515,0.164177
19,'2025/10/01 22:28:34:483',1,24,0,150,119,0.07667,0.859515,0.164177
20,'2025/10/01 22:28:34:547',1,24,0,150,119,0.07667,0.859515,0.164177
21,'2025/10/01 22:28:34:606',1,24,0,150,119,0.07667,0.859515,0.164177
22,'2025/10/01 22:28:34:669',1,24,0,150,119,0.07667,0.859515,0.164177
23,'2025/10/01 22:28:34:729',1,24,0,150,119,0.07667,0.859515,0.164177
24,'2025/10/01 22:28:34:792',1,24,0,150,119,0.07667,0.859515,0.164177
25,'2025/10/01 22:28:34:854',1,24,0,150,119,0.07667,0.859515,0.164177
26,'2025/10/01 22:28:34:914',1,23,0,150,119,0.07667,0.859515,0.164177
27,'2025/10/01 22:28:34:963',1,24,0,150,119,0.07667,0.859515,0.164177
28,'2025/10/01 22:28:35:025',1,23,0,150,119,0.07667,0.859515,0.164177
29,'2025/10/01 22:28:35:084',1,23,0,150,119,0.07667,0.859515,0.164177
30,'2025/10/01 22:28:35:143',1,23,0,150,119,0.07667,0.859515,0.164177
31,'2025/10/01 22:28:35:203',1,23,0,150,119,0.07667,0.859515,0.164177
32,'2025/10/01 22:28:35:268',1,23,0,150,119,0.07667,0.859515,0.164177
33,'2025/10/01 22:28:35:319',1,23,0,150,119,0.07667,0.859515,0.164177
34,'2025/10/01 22:28:35:386',1,23,0,150,119,0.07667,0.859515,0.164177
35,'2025/10/01 22:28:35:438',1,23,0,150,119,0.07667,0.859515,0.164177
36,'2025/10/01 22:28:35:499',1,23,0,150,119,0.07667,0.859515,0.164177
37,'2025/10/01 22:28:35:563',1,23,0,150,119,0.07667,0.859515,0.164177
38,'2025/10/01 22:28:35:628',1,23,0,150,119,0.07667,0.859515,0.164177
39,'2025/10/01 22:28:35:683',1,23,0,150,119,0.07667,0.859515,0.164177
40,'2025/10/01 22:28:35:762',1,23,0,150,119,0.07667,0.859515,0.164177
41,'2025/10/01 22:28:35:802',1,23,0,150,119,0.07667,0.859515,0.164177
42,'2025/10/01 22:28:35:861',1,23,0,150,119,0.07667,0.859515,0.164177
43,'2025/10/01 22:28:35:930',1,23,0,150,119,0.07667,0.859515,0.164177
44,'2025/10/01 22:28:35:983',1,23,0,150,119,0.07667,0.859515,0.164177
45,'2025/10/01 22:28:36:062',1,23,0,150,119,0.07667,0.859515,0.164177
46,'2025/10/01 22:28:36:106',1,23,0,150,119,0.07667,0.859515,0.164177
47,'2025/10/01 22:28:36:162',1,23,0,150,119,0.07667,0.859515,0.164177
48,'2025/10/01 22:28:36:219',1,23,0,150,119,0.07667,0.859515,0.164177
49,'2025/10/01 22:28:36:288',1,23,0,150,119,0.07667,0.859515,0.164177
50,'2025/10/01 22:28:36:339',1,23,0,150,119,0.07667,0.859515,0.164177
51,'2025/10/01 22:28:36:414',1,23,0,150,119,0.07667,0.859515,0.164177
52,'2025/10/01 22:28:36:468',1,23,0,150,119,0.07667,0.859515,0.164177
53,'2025/10/01 22:28:36:519',1,23,0,150,119,0.07667,0.859515,0.164177
54,'2025/10/01 22:28:36:585',1,23,0,150,119,0.07667,0.859515,0.164177
